Track Name,Artist Name(s),Album Name,Popularity,Energy,Tempo
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,Part 3,60,0.945,112.292
Sky Diver,Daniel Boone,The Best Of Daniel Boone,15,0.708,130.261
The Wanderer,Dion,The Best Of Dion,0,0.477,114.432
Photograph,Nickelback,All the Right Reasons,72,0.876,145.916
Don't Throw Your Love Away - Mono,The Searchers,It's The Searchers,44,0.682,122.173
Roxanne,The Police,The Very Best Of Sting And The Police,0,0.683,133.149
Never Never Never - 2000 Remaster,Shirley Bassey,15 Classic Tracks: Shirley Bassey,27,0.39,191.043
Pretty Paper,Roy Orbison,The Essential Roy Orbison,31,0.279,79.964
Neither One of Us (Wants to Be the First to Say Goodbye),Linda George,Miss Linda George,0,0.498,91.9
Stronger,Kanye West,Graduation (UK Version),0,0.717,103.992
Not Over You,Gavin DeGraw,Sweeter,69,0.894,142.051
I Can Love You Like That,All-4-One,Rhino Hi-Five: All-4-One,0,0.712,91.024
The Son of Hickory Holler's Tramp,O.C. Smith,Hickory Holler Revisted,25,0.562,145.326
Pompeii,Bastille,Pompeii,57,0.709,127.44
Hold On,Justin Bieber,Hold On,73,0.634,139.98
Regulate,"Warren G, Nate Dogg",Regulate… G Funk Era,78,0.521,95.265
Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",Save Your Tears (Remix),84,0.825,118.091
Shout To The Top - Full Version,The Style Council,Our Favourite Shop (Deluxe Edition),0,0.932,143.849
Blame It on the Bossa Nova,Eydie Gormé,Blame It on the Bossa Nova,0,0.442,80.171
I Live For You,Chynna Phillips,Naked And Sacred,27,0.919,90.895
(Theme From) The Monkees,The Monkees,The Best of The Monkees,47,0.7,83.517
Naughty Girl - Radio Edit,Mr G,Naughty Girl,25,0.86,135.035
When The River Runs Dry,Hunters & Collectors,Ghost Nation,0,0.829,127.286
Let's Dance,Chris Montez,The Hits,52,0.83,76.489
Changed the Way You Kiss Me - Radio Edit,Example,2010s Hits,44,0.802,127
Keeps Gettin' Better,Christina Aguilera,Keeps Gettin' Better: A Decade of Hits,43,0.697,130.001
For You (Fifty Shades Freed),"Liam Payne, Rita Ora",Phoenix (Deluxe Edition),0,0.791,113.068
Secret Garden,Bruce Springsteen,Greatest Hits,0,0.285,86.83
School Is Out,Gary U.S. Bonds,"My First School Love, Vol.4",0,0.774,73.704
"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")",The Ray Conniff Singers,"SOMEWHERE MY LOVE (Love Theme from ""Dr. Zhivago"") And Other Great Hits",48,0.259,88.59
Borne on the Wind,Roy Orbison,"Oh, Pretty Woman",30,0.445,126.463
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars","Young, Wild & Free (feat. Bruno Mars)",75,0.652,94.505
Gravity,The Superjesus,Jet Age,53,0.88,93.052
Since U Been Gone,Kelly Clarkson,Breakaway,76,0.739,130.999
Come Home,Daniel Powter,Best of Me,25,0.713,180.112
I Love the Way You Love,Marv Johnson,Marv Johnson 25 Original Tracks (Remastered),0,0.778,134.807
"A Hard Rain's A-Gonna Fall - US 7"" Version",Bryan Ferry,Best Of,0,0.932,125.149
The Girls - Radio Edit,Calvin Harris,The Girls,13,0.874,127.915
Let Go for Tonight,Foxes,Glorious (Deluxe),46,0.808,140.064
Fader,The Temper Trap,Conditions (Tour Edition),0,0.76,134.974
Bring It All Back,S Club,S Club,64,0.903,108.114
Shut Up and Let Me Go,The Ting Tings,We Started Nothing,58,0.927,107.993
Holiday Rap - Version 1986,MC Miker & DJ Sven,Holiday Rap: Best of Collector Mc Miker & DJ Sven (Original Version),56,0.816,115.993
California Blue,Roy Orbison,The Ultimate Collection,23,0.627,105.656
Castles,Freya Ridings,Freya Ridings,62,0.752,116.945
Forever,The Little Dippers,Music Enchanted Me,3,0.286,74.219
Jealous Guy,Roxy Music,The Best Of Roxy Music,63,0.622,77.663
Green Green Grass Of Home,Tom Jones,"Green, Green Grass Of Home",65,0.41,95.363
Everybody Rise,Amy Shark,Everybody Rise,51,0.676,103.057
Here I Go Again - 1987 Version; 2008 Remaster,Whitesnake,Here I Go Again (1987 Version),41,0.88,91.06
Multiplication,Bobby Darin,Sing & Swing with Bobby Darin,18,0.503,89.988
Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element Of Freedom,75,0.368,92.923
We're Not Gonna Take It,Twisted Sister,Stay Hungry,77,0.924,149.186
On a Mission,Gabriella Cilmi,Ten (Standard),25,0.939,180.014
I'll Find My Way Home,Jon & Vangelis,The Friends Of Mr Cairo,0,0.402,171.656
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),86,0.445,78.998
So Good (feat. Ty Dolla $ign),"Zara Larsson, Ty Dolla $ign",So Good,53,0.576,82.055
This Fire,Birds Of Tokyo,March Fires,35,0.797,115.456
Count on Me,Bruno Mars,Doo-Wops & Hooligans,78,0.389,89.1
Loud,Stan Walker,The Platinum Collection,4,0.854,122.066
(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",Dirty Dancing,0,0.665,108.535
The Wedding,Julie Rogers,The Wedding,5,0.401,97.195
Keep The Faith,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),0,0.968,117.784
The Boxer,Simon & Garfunkel,Bridge Over Troubled Water,74,0.488,93.017
Boom Sha La La Lo,Hans Poulsen,Lost Hits of the 70s and 80s,19,0.637,123.048
Bonfire Heart,James Blunt,Moon Landing,69,0.821,118.021
Fingertips - Original Studio Version,Stevie Wonder,The Jazz Soul Of Little Stevie,0,0.696,79.941
Same Old Girl,Darryl Cotton,Best Seat In The House,21,0.553,124.212
I'm Kissing You,Des'ree,Supernatural,61,0.294,82.428
Candyman,Christina Aguilera,Keeps Gettin' Better: A Decade Of Hits,0,0.735,173.031
Hot Summer Nights,Night,Night / Long Distance,34,0.649,121.317
Mule Skinner Blues,The Fendermen,Mule Skinner Blues,15,0.494,127.716
Fly Me To The Moon,"Frank Sinatra, Count Basie",Ultimate Sinatra,66,0.365,119.344
Something So Strong,Crowded House,Crowded House,0,0.673,119.786
Timebomb,Kylie Minogue,Timebomb,34,0.942,128.027
The Power of Love,Gabrielle Aplin,English Rain,50,0.291,75.119
Black Betty - Edit,Spiderbait,Tonight Alright,70,0.865,124.047
Secrets,OneRepublic,Waking Up,0,0.764,148.021
Melting Pot,Blue Mink,Melting Pot - The Best of Blue Mink,27,0.641,172.735
"Over My Head (Cable Car) - Live at Sirius Radio, NYC, NY - May 2006",The Fray,Over My Head (Cable Car),51,0.467,117.121
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""","Céline Dion, Peabo Bryson",Celine Dion,68,0.4,77.314
Slow Dance (feat. Ava Max),"AJ Mitchell, Ava Max",Slow Dance (feat. Ava Max),63,0.443,127.9
I Wanna Do It with You,John Paul Young,I Hate the Music,26,0.892,129.423
When I'm Gone,Simple Plan,Simple Plan,54,0.855,161.018
Valleri,The Monkees,The Best of The Monkees,36,0.637,152.612
FOH,Toni Braxton,Sex & Cigarettes,34,0.304,111.905
Hold My Hand,Lady Gaga,Top Gun: Maverick (Music From The Motion Picture),73,0.612,148.009
Route 66,Chuck Berry,New Juke Box Hits,63,0.692,79.071
All Day And All Of The Night,The Kinks,Pirate Radio,0,0.957,136.975
Always Together - Remastered,Al Martino,Crooner (Remastered),0,0.392,105.402
Adam's Song,blink-182,Greatest Hits [International Version (Explicit)],0,0.722,136.075
Lovers in Japan,Coldplay,Viva La Vida (Prospekt's March Edition),24,0.733,118.217
"Black Fingernails, Red Wine",Eskimo Joe,"Black Fingernails, Red Wine",57,0.917,124.001
What's Luv? (feat. Ashanti),"Fat Joe, Ashanti",What's Luv? (feat. Ashanti),66,0.688,93.857
Somethings Gotta Give,John Butler Trio,Somethings Gotta Give,30,0.652,172.252
I'm Gonna Make You Love Me,"Diana Ross & The Supremes, The Temptations",Diana Ross & The Supremes Join The Temptations,55,0.393,98.332
Copacabana (At the Copa),Barry Manilow,Dance Vault Mixes - Copacabana (At The Copa),63,0.899,116.735
South Street,The Orlons,South Street,0,0.318,186.595
Kentucky Rain,Elvis Presley,From Elvis in Memphis,60,0.374,105.265
Fishin' in the Dark,Nitty Gritty Dirt Band,More Great Dirt: The Best of the Nitty Gritty Dirt Band,45,0.283,77.756
In the Country,Cliff Richard & The Shadows,40 Golden Greats,28,0.583,158.169
My True Story,The Jive Five,Their Greatest Hits,18,0.437,184.518
Ghostbusters,Ray Parker Jr.,Arista Heritage Series: Ray Parker,61,0.717,115.384
Freedom! '90 - Remastered,George Michael,Ladies & Gentlemen,52,0.896,91.811
Bohemian Like You,The Dandy Warhols,Alternative,45,0.936,131.268
What I Like About You,The Romantics,What I Like About You (And Other Romantic Hits),65,0.915,159.81
Cool World - Digitally Remastered,Mondo Rock,The Greatest Hits,0,0.675,124.145
Mama Didn't Lie,Jan Bradley,Mama Didn't Lie,20,0.595,124.675
Growing Up (feat. Ed Sheeran),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ed Sheeran",This Unruly Mess I've Made,61,0.549,85.16
Stitches,Shawn Mendes,Handwritten (Revisited),54,0.754,73.184
Living In A Child's Dream,The Master's Apprentices,The Very Best Of Masters Apprentices,25,0.493,112.872
She Hates Me,Puddle Of Mudd,Come Clean (Repackaged International Version),0,0.757,109.781
I Want You Back,Bananarama,Really Saying Something - The Platinum Collection,0,0.971,123.814
Grease,Frankie Valli,The Very Best of Frankie Valli & The 4 Seasons,56,0.474,109.335
Post Malone (feat. RANI),"Sam Feldt, RANI",Post Malone (feat. RANI) [Joe Stone Remix],67,0.642,107.356
Australiana,Austen Tayshus,The Mule (Original Soundtrack),0,0.984,77.745
Thunderball,Tom Jones,The Best Of ... Tom Jones,44,0.673,89.792
Hustle,P!nk,Hustle,35,0.813,97.038
Dream A Little Dream Of Me - Album Version With Introduction,The Mamas & The Papas,The Papas & The Mamas,0,0.322,133.91
Amazed,Lonestar,Lonely Grill,73,0.543,139.803
Burn for You,John Farnham,Chain Reaction,47,0.132,97.136
Confidence,Ocean Alley,Chiaroscuro,67,0.562,140.835
"Tom's Diner - 7"" Version","DNA, Suzanne Vega",RetroSpective: The Best Of Suzanne Vega,0,0.607,99.15
Hanky Panky,Madonna,I'm Breathless,45,0.626,169.969
Roll Over Beethoven - Remastered 2009,The Beatles,With The Beatles (Remastered),56,0.749,160.673
I Love You Always Forever,Donna Lewis,Now in a Minute,75,0.453,103.773
Last Night,Good Charlotte,Cardiology,53,0.849,128.063
Don't Wanna Go to Bed Now,Gabriella Cilmi,Lessons To Be Learned (Special Edition),14,0.846,150.908
Sultans Of Swing,Dire Straits,Dire Straits,85,0.794,148.174
Fly Away,Tones And I,Fly Away,56,0.515,124.969
Wake Up Call,Maroon 5,It Won't Be Soon Before Long (International Version),0,0.949,164.118
Wanna Be Up,Chantoozies,Chantoozies,37,0.831,128.104
Dedicated To The One I Love,The Shirelles,Will You Still Love Me Tomorrow,0,0.191,80.351
